Id	GrowRate	Level
INT	FLOAT	INT
#		
#属性ID	属性增长率	等级
0	1.07	459
1	1.07	459
2	1.07	459
3	1.07	459
4	1.07	459
7	1.07	459
8	1.07	459
9	1.07	459
10	1.07	459
11	1.07	459
12	1.07	459
13	1.07	459
14	1.07	459
15	1.07	459
16	1.07	459
17	1.07	459
18	1.07	459
19	1.07	459
20	1.07	459
21	1.07	459
22	1.07	459
26	1.07	459
27	1.07	459
28	1.07	459
29	1.07	459
30	1.07	459
31	1.07	459
32	1.07	459
33	1.07	459
34	1.07	459
35	1.07	459
36	1.07	459
37	1.07	459
38	1.07	459
39	1.07	459
40	1	459
49	1	459
54	1.07	459
55	1.07	459
56	1.07	459
59	1	459
60	1	459
69	1	459
70	1	459
79	1	459
80	1	459
81	1	459
82	1	459
83	1.028	459
84	1.028	459
85	1.028	459
89	1.07	459
90	1.07	459
91	1.07	459
92	1.07	459
93	1.07	459
94	1.07	459
95	1.07	459
96	1.07	459
97	1.07	459
98	1.07	459
99	1.07	459
100	1.07	459
101	1	459
0	1.03	479
1	1.03	479
2	1.03	479
3	1.03	479
4	1.03	479
7	1.03	479
8	1.03	479
9	1.03	479
10	1.03	479
11	1.03	479
12	1.03	479
13	1.03	479
14	1.03	479
15	1.03	479
16	1.03	479
17	1.03	479
18	1.03	479
19	1.03	479
20	1.03	479
21	1.03	479
22	1.03	479
26	1.03	479
27	1.03	479
28	1.03	479
29	1.03	479
30	1.03	479
31	1.03	479
32	1.03	479
33	1.03	479
34	1.03	479
35	1.03	479
36	1.03	479
37	1.03	479
38	1.03	479
39	1.03	479
40	1	479
49	1	479
54	1.03	479
55	1.03	479
56	1.03	479
59	1	479
60	1	479
69	1	479
70	1	479
79	1	479
80	1	479
81	1	479
82	1	479
83	1.014	479
84	1.014	479
85	1.01	479
89	1.03	479
90	1.03	479
91	1.03	479
92	1.03	479
93	1.03	479
94	1.03	479
95	1.03	479
96	1.03	479
97	1.03	479
98	1.03	479
99	1.03	479
100	1.03	479
101	1	479
