Id	Desc	Drop1	Drop2	Drop3	Drop4	Drop5	Drop6	Drop7	Drop8	Drop9	Drop10	Drop11	Drop12	Drop13	Drop14	Drop15	Drop16	Drop17	Drop18	Drop19	Drop20	Drop21	Drop22	Drop23	Drop24	Drop25	Drop26	Drop27	Drop28	Drop29	Drop30	Drop31	Drop32	Drop33	Drop34	Drop35	Drop36	Drop37	Drop38	Drop39	Drop40	Drop41	Drop42	Drop43	Drop44	Drop45	Drop46	Drop47	Drop48	Drop49	Drop50	Drop51	Drop52
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;																																																					
#ID	描述(程序不读)	DropListID(1~4级)	DropListID(5~9级)	DropListID(10~14级)	DropListID(15~19级)	DropListID(20~24级)	DropListID(25~29级)	DropListID(30~34级)	DropListID(35~39级)	DropListID(40~44级)	DropListID(45~49级)	DropListID(50~54级)	DropListID(55~59级)	DropListID(60~64级)	DropListID(65~69级)	DropListID(70~74级)	DropListID(75~79级)	DropListID(80~84级)	DropListID(85~89级)	DropListID(90~94级)	DropListID(95~99级)	DropListID(100~104级)	DropListID(105~109级)	DropListID(110~114级)	DropListID(115~119级)	DropListID(120~124级)	DropListID(125~129级)	DropListID(130~134级)	DropListID(135~139级)	DropListID(140~144级)	DropListID(145~149级)	DropListID(150~154级)	DropListID(155~159级)	DropListID(160~164级)	DropListID(165~169级)	DropListID(170~174级)	DropListID(175~179级)	DropListID(180~184级)	DropListID(185~189级)	DropListID(190~194级)	DropListID(195~199级)	DropListID(200~204级)	DropListID(205~209级)	DropListID(210~214级)	DropListID(215~219级)	DropListID(220~224级)	DropListID(225~229级)	DropListID(230~234级)	DropListID(235~239级)	DropListID(240~244级)	DropListID(245~249级)	DropListID(250~254级)	DropListID(255~259级)
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端																																																				
36	抓鬼小怪掉落--废弃	20001	20001	20002	20002	20003	20003	20004	20004	20005	20005	20006	20006	20007	20007	20008	20008	20009	20009	20010	20010	20011	20011	20012	20012	20013	20013	20014	20014	20015	20015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	副本底层测试--废弃	21041	21042	21043	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	青衣冢--废弃	20016	20017	20018	20019	20020	20021	20022	20023	20024	20025	20026	20027	20028	20029	20030	20031	20032	20033	20034	20035	20036	20037	20038	20039	20040	20041	20042	20043	20044	20045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	通天湖测试11.30--废弃	10023	10023	10024	10024	10025	10025	10026	10026	10027	10027	10027	10027	10027	10027	10027	10027	10027	10027	10027	10027	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	帮会宵小-队长	10600	10601	10602	10603	10604	10605	10606	10607	10608	10609	10610	10611	10612	10613	10614	10615	10616	10617	10618	10619	10620	10621	10622	10623	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624	10624
41	帮会宵小-彩蛋Boss	10700	10701	10702	10703	10704	10705	10706	10707	10708	10709	10710	10711	10712	10713	10714	10715	10716	10717	10718	10719	10720	10721	10722	10723	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724	10724
