Id	Desc	IsCommonDropOpen	IsCommonDropClass	CommonDropIndex1	CommonDropIndex2	CommonDropIndex3	CommonDropIndex4	CommonDropIndex5	CommonDropIndex6	CommonDropIndex7	CommonDropIndex8	CommonDropIndex9	CommonDropIndex10	CommonDropIndex11	CommonDropIndex12	CommonDropIndex13	CommonDropIndex14	CommonDropIndex15	CommonDropIndex16	DropSoundId	ExtraStartDate1	ExtraStartTime1	ExtraEndData1	ExtraEndTime1	ExtraDropId1	ExtraStartDate2	ExtraStartTime2	ExtraEndData2	ExtraEndTime2	ExtraDropId2	ExtraStartDate3	ExtraStartTime3	ExtraEndData3	ExtraEndTime3	ExtraDropId3	ExtraStartDate4	ExtraStartTime4	ExtraEndData4	ExtraEndTime4	ExtraDropId4	ExtraStartDate5	ExtraStartTime5	ExtraEndData5	ExtraEndTime5	ExtraDropId5
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=20000;																																													
#ID	说明	是否开启常规掉落	常规掉落是否区分职业，0-不区分 1-区分	常规掉落包索引1，索引RecursionDrop	常规掉落包索引2	常规掉落包索引3	常规掉落包索引4	常规掉落包索引5	常规掉落包索引6	常规掉落包索引7	常规掉落包索引8	常规掉落包索引9	常规掉落包索引10	常规掉落包索引11	常规掉落包索引12	常规掉落包索引13	常规掉落包索引14	常规掉落包索引15	常规掉落包索引16	掉落声音id(没有就-1)	额外奖励的开始日期(yyyymmdd)	额外奖励的开始时间（HHMMSS）	结束日期（20180323）	结束时间083030	额外掉落包	额外奖励的开始日期(yyyymmdd)	额外奖励的开始时间（HHMMSS）	结束日期（20180323）	结束时间083030	额外掉落包	额外奖励的开始日期(yyyymmdd)	额外奖励的开始时间（HHMMSS）	结束日期（20180323）	结束时间083030	额外掉落包	额外奖励的开始日期(yyyymmdd)	额外奖励的开始时间（HHMMSS）	结束日期（20180323）	结束时间083030	额外掉落包	额外奖励的开始日期(yyyymmdd)	额外奖励的开始时间（HHMMSS）	结束日期（20180323）	结束时间083030	额外掉落包
999	掉落测试	1	0	8043	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1006	奇遇奖励怪-默音鸾鸟-飞行-宝石	1	0	1006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1007	奇遇奖励怪-默音鸾鸟-飞行-幻仙	1	0	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1008	119黄昏老3箱子--转生前	1	0	96391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1009	119黄昏老3箱子--转生后	1	0	96388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1010	国庆测试--好友拜访	1	0	90952	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1011	1级城战每日奖励--转生前	1	0	115509	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
