Id	Desc	ExpNeed	FellowExpNeed	Stamina	SkillWashTimes	FairyExpNeed	FairyPoints	SilverCoinParam	ExpParam	DailyExpMax	FixServerOpenDay	FixServerOpenDay2	MaxExtendWarpath	ExpFactor	MergeRedeemDay
INT	STRING	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT
#MAX_ID=500;MAX_RECORD=500;					N		N			N	N	N		N	N
#ID	程序不读	人物升级所需要经验	伙伴升级所需经验	当前等级的最大活力值	当前等级技能每天免费重修次数	精灵升级所需经验	精灵每级升级给予的属性点数	副本掉落银币浮动系数	掉落经验浮动系数	每日经验上限参数	开服天数（模糊计算值，注意：卡等级的等级需要配置为开放的日期）已废弃，为防止意外，和2配置成一样的	开服天数（模糊计算值，注意：卡等级的等级需要配置为开放的日期）	额外战意上限最大值	服务器等级经验系数修正	合服天数补偿计算（每级升级时间）
1	升级所需经验	41	8	200	3	8	5	5000	8	449000	1	1	160	1	0.001
2	升级所需经验	105	21	200	3	21	5	5041.7333	9.18959	449000	1	1	160	1	0.001
3	升级所需经验	184	37	200	3	37	5	5083.756879	10.55606	449000	1	1	160	1	0.001
4	升级所需经验	281	56	200	3	56	5	5126.072754	12.12573	449000	1	1	160	1	0.001
5	升级所需经验	399	80	220	3	80	5	5168.68296	13.92881	449000	1	1	160	1	0.001
6	升级所需经验	540	108	220	3	108	5	5211.589543	16	449000	1	1	160	1	0.001
7	升级所需经验	710	142	220	3	142	5	5254.794565	18.37917	449000	1	1	160	1	0.001
8	升级所需经验	913	183	220	3	183	5	5298.300102	21.11213	449000	1	1	160	1	0.001
9	升级所需经验	1154	231	220	3	231	5	5342.108243	24.25147	449000	1	1	160	1	0.001
10	升级所需经验	1437	287	240	3	287	5	5386.221095	27.85762	449000	1	1	160	1	0.001
11	升级所需经验	1771	354	240	3	354	5	5430.640775	32	449000	1	1	160	1	0.001
12	升级所需经验	2162	432	240	3	432	5	5475.369419	36.75835	449000	1	1	160	1	0.001
13	升级所需经验	2618	524	240	3	524	5	5520.409175	42.22425	449000	1	1	160	1	0.001
14	升级所需经验	3148	630	240	3	630	5	5565.762208	48.50293	449000	1	1	160	1	0.001
15	升级所需经验	3762	752	260	3	752	5	5611.430695	55.71524	449000	1	1	160	1	0.001
16	升级所需经验	4471	894	260	3	894	5	5657.416832	64	449000	1	1	160	1	0.001
17	升级所需经验	5287	1057	260	3	1057	5	5703.722828	73.51669	449000	1	1	160	1	0.001
18	升级所需经验	6223	1245	260	3	1245	5	5750.350908	84.44851	449000	1	1	160	1	0.001
19	升级所需经验	7294	1459	260	3	1459	5	5797.303312	97.00586	449000	1	1	160	1	0.001
20	升级所需经验	8513	1703	280	3	1703	5	5844.582295	111.43047	449000	1	1	160	1	0.001
21	升级所需经验	9898	1980	280	3	1980	5	5892.19013	128	449000	1	1	160	1	0.001
