Id	Desc	SeverLevel	ExpParam	RedeemExp
INT	STRING	INT	FLOAT	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Hash;				
#开服天数（已废弃，为了防止意外和2配置成一样）	计算经验加成用（已废弃，为了防止意外和2配置成一样）	开服天数对应服务器等级(玩家邮件提示使用)（已废弃，为了防止意外和2配置成一样）	服务器经验加成（开服天数差值计算）（已废弃，为了防止意外和2配置成一样）	新人进老服补偿经验（已废弃，为了防止意外和2配置成一样）
0	0	38	0	0
1	1	38	0.15	0
2	2	54	0.35	500000
3	3	59	0.5	3500000
4	4	63	0.65	6000000
5	5	66	0.8	10000000
6	6	68	1	10000000
7	7	72	1.25	10000000
8	8	73	1.5	10000000
9	9	76	1.75	10000000
10	10	77	2	10000000
11	11	79	2.3	10000000
12	12	79	2.6	10000000
13	13	79	3	10000000
14	14	79	3.4	10000000
15	15	81	3.8	10000000
16	16	82	4.2	10000000
17	17	83	4.8	10000000
18	18	84	5	10000000
19	19	85	5	10000000
20	20	86	5	10000000
21	21	87	5	10000000
22	22	87	5	10000000
23	23	88	5	10000000
24	24	89	5	10000000
25	25	89	5	10000000
26	26	91	5	10000000
27	27	91	5	10000000
28	28	92	5	10000000
29	29	92	5	10000000
30	30	93	5	10000000
31	31	93	5	10000000
32	32	94	5	10000000
33	33	94	5	10000000
34	34	95	5	10000000
35	35	96	5	10000000
36	36	96	5	10000000
37	37	96	5	10000000
38	38	97	5	10000000
39	39	97	5	10000000
40	40	98	5	10000000
41	41	98	5	10000000
42	42	99	5	10000000
43	43	99	5	10000000
44	44	99	5	10000000
45	45	99	5	10000000
46	46	99	5	10000000
47	47	99	5	10000000
48	48	99	5	10000000
49	49	99	5	10000000
50	50	99	5	10000000
51	51	100	5	10000000
52	52	101	5	10000000
53	53	101	5	10000000
54	54	102	5	10000000
55	55	102	5	10000000
56	56	102	5	10000000
57	57	103	5	10000000
58	58	103	5	10000000
59	59	103	5	10000000
60	60	104	5	10000000
61	61	104	5	10000000
62	62	105	5	10000000
63	63	105	5	10000000
64	64	106	5	10000000
65	65	106	5	10000000
66	66	106	5	10000000
67	67	107	5	10000000
68	68	107	5	10000000
69	69	107	5	10000000
70	70	108	5	10000000
71	71	108	5	10000000
72	72	109	5	10000000
73	73	109	5	10000000
74	74	109	5	10000000
75	75	110	5	10000000
76	76	110	5	10000000
77	77	111	5	10000000
78	78	111	5	10000000
79	79	111	5	10000000
80	80	112	5	10000000
81	81	112	5	10000000
82	82	112	5	10000000
83	83	113	5	10000000
84	84	113	5	10000000
85	85	114	5	10000000
86	86	114	5	10000000
87	87	114	5	10000000
88	88	114	5	10000000
89	89	115	5	10000000
90	90	115	5	10000000
91	91	116	5	10000000
92	92	116	5	10000000
93	93	116	5	10000000
94	94	117	5	10000000
95	95	117	5	10000000
96	96	117	5	10000000
97	97	118	5	10000000
98	98	118	5	10000000
99	99	118	5	10000000
100	100	119	5	10000000
101	101	119	5	10000000
102	102	119	5	10000000
103	103	119	5	10000000
104	104	119	5	10000000
105	105	119	5	10000000
106	106	119	5	10000000
107	107	119	5	10000000
108	108	119	5	10000000
109	109	119	5	10000000
110	110	119	5	10000000
111	111	119	5	10000000
112	112	119	5	10000000
113	113	119	5	10000000
114	114	119	5	10000000
115	115	119	5	10000000
116	116	119	5	10000000
117	117	120	5	10000000
118	118	125	5	10000000
119	119	129	5	10000000
120	120	133	5	10000000
