AnimID	Name	AinmName	Layer	WrapMode	Speed	TransitTime	LoopTime	LoopOverAnimId	IsCanBreak	StartEffect01	IsStartEffectAutoEnd01	StartEffect02	IsStartEffectAutoEnd02	StartEffect03	IsStartEffectAutoEnd03	StartEffect04	IsStartEffectAutoEnd04	StartEffect05	IsStartEffectAutoEnd05	StartEffect06	IsStartEffectAutoEnd06	EndEffect	IsCallEnd	NextAnimId	SoundID	IsSkillAnim	CameraRockRate	CameraRockID	GD_WeaponLRefixIndex	GD_WeaponRRefixIndex	IsNeedPlayWeaponAnim
INT	STRING	STRING	BYTE	BYTE	FLOAT	FLOAT	INT	int	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	SHORT	BOOL	INT	INT	INT	INT	INT
#预留																															
#本行程序不读 动画ID	描述	动画名称	优先级(站立 跑动优先级为1 其他为2)	播放模式1 1是不循环，2是循环	速度	过渡时间(融合时间，一般0.1~0.2)	循环次数（如果WrapMode==2，需要填）	循环结束动作（如果WrapMode==2，则用这个动作结束）	是否能被其他动作打断	起始特效01ID	起始特效01是否自动结束	起始特效02ID	起始特效02是否自动结束	起始特效03ID	起始特效03是否自动结束	起始特效04ID	起始特效04是否自动结束	起始特效05ID	起始特效05是否自动结束	起始特效06ID	起始特效06是否自动结束	结束特效ID	结束后是否回调	结束后的下一动作//如果不循环，以这个动作结束	动作音效	是否是技能攻击动作	震屏权重（100表示100%）	震屏ID	鬼道播放该动作时左手武器位置旋转修正	鬼道播放该动作时右手武器位置旋转修正	是否播放对应的武器动画
0	站立	Stand	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
1	跑动	Run	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
2	普攻-青云男	Attack	2	1	1	0	-1	-1	0	2	1	3	1	4	1	-1	0	-1	0	-1	0	-1	0	-1	6	1	100	1	-1	-1	0
3	XP-青云女	Skill_Xp	2	1	1	0.2	-1	-1	0	5	1	6	1	7	1	8	1	44	1	45	1	-1	0	-1	5	1	0	-1	-1	-1	0
4	神剑御雷_start-青云男	Skill_Shenjianyulei_Start	2	1	1	0.2	-1	-1	0	11	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	5	10	1	0	-1	-1	-1	0
5	神剑御雷_loop-青云男女	Skill_Shenjianyulei_Loop	2	2	1	0	5	6	0	12	1	13	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	11	1	100	4	-1	-1	0
6	神剑御雷_end-青云男女	Skill_Shenjianyulei_End	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	-1	-1	-1	0
7	双人交互-男抱女-男抱起动作	Hug	2	1	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	0	-1	-1	-1	0
8	双人交互-男抱女-女被抱起动作	Be_Hug	2	1	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	0	-1	-1	-1	0
9	双人交互-男抱女-男抱起站立动作	Hug_Stand	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
10	双人交互-男抱女-女被抱起站立动作	Be_Hug_Stand	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
11	双人交互-男抱女-男抱起走步动作	Hug_Walk	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
12	双人交互-男抱女-女被抱起走步动作	Be_Hug_Walk	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
13	双人交互-男抱受伤女-男抱起动作	Hug_JQ_MW	2	1	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	0	-1	-1	-1	0
14	双人交互-男抱受伤女-女被抱起动作	Be_Hug_JQ_MW	2	1	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	0	-1	-1	-1	0
15	七劫斩龙诀-青云男（废弃）	Skill_Qijiezhanlongjue	2	1	1	0.2	-1	-1	0	24	1	25	1	26	1	-1	0	-1	0	-1	0	-1	1	-1	9	1	0	-1	-1	-1	0
16	霜寒雪舞-青云女	Skill_Shuanghanxuewu	2	1	1	0.2	-1	-1	0	303	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	7	1	100	2	-1	-1	0
17	盛冰之寒-青云女	Skill_Tianxuanbing	2	1	1	0.2	-1	-1	0	14	1	16	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	8	1	0	-1	-1	-1	0
18	战斗站立	Attack_Stand	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
19	战斗跑动	Attack_Run	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
20	死亡倒下	Die	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	21	-1	0	0	-1	-1	-1	1
21	死亡状态	Dead	2	2	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	0	-1	-1	-1	1
22	受伤跑动	Run_Hurt	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
23	击飞	Knockaway	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
24	人在飞剑上站立	Ride_Stand	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
25	人上飞剑	Ride_Ride	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	49	0	0	-1	-1	-1	1
26	人在飞剑上休闲	Ride_Idle	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
27	人在飞剑上跑动	Ride_Fly	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
28	人在飞剑上上升	Ride_Up	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	46	0	0	-1	-1	-1	1
29	人在飞剑上上升-快	Ride_Up_Speed	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	46	0	0	-1	-1	-1	1
30	人在飞剑上下降	Ride_Down	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	47	0	0	-1	-1	-1	1
31	人在飞剑上下降-快	Ride_Down_Speed	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	47	0	0	-1	-1	-1	1
32	神剑御雷_start-青云男	Skill_Shenjianyulei_Start	2	1	1	0.2	-1	-1	0	19	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	5	10	1	0	-1	-1	-1	0
33	双人交互-女搀女-女搀起动作	Hug_JQ_WW	2	1	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	0	-1	-1	-1	0
34	双人交互-女搀女-女被搀起动作	Be_Hug_JQ_WW	2	1	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	0	-1	-1	-1	0
35	双人交互-女搀女-女搀起站立动作	Hug_JQ_Stand_WW	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
36	双人交互-女搀女-女被搀站立起动作	Be_Hug_JQ_Stand_WW	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
37	双人交互-女搀女-女搀起走步动作	Hug_JQ_Walk_WW	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
38	双人交互-女搀女-女被搀走步起动作	Be_Hug_JQ_Walk_WW	2	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
39	主角受击	Hit	2	1	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
40	NPC受击1	Hit	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
41	NPC受击2	Hit_01	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
42	NPC攻击1	Attack	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	-1	-1	-1	0
43	NPC攻击2	Attack_01	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	-1	-1	-1	0
44	普攻-青云女	Attack	2	1	1	0.2	-1	-1	0	29	1	30	1	31	1	-1	0	-1	0	-1	0	-1	0	-1	6	1	100	3	-1	-1	0
45	击飞上升	Knockback_Up	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	48	-1	0	0	-1	-1	-1	0
46	击飞下落	Knockback_Down	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	47	-1	0	0	-1	-1	-1	0
47	击飞起身	Knockback_Stand	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
48	击飞受击	Knockback_Hit	2	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0
49	人在翅膀上站立	Ride_Stand_Wing	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	105	0	0	-1	-1	-1	1
50	人上翅膀	Ride_Ride_Wing	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	106	0	0	-1	-1	-1	1
51	人在翅膀上休闲	Ride_Idle_Wing	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	105	0	0	-1	-1	-1	1
52	人在翅膀上跑动	Ride_Fly_Wing	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
53	人在翅膀上上升	Ride_Up_Wing	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	104	0	0	-1	-1	-1	1
54	人在翅膀上下降	Ride_Down_Wing	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	104	0	0	-1	-1	-1	1
55	毒神技能-尸毒咒-DEMO	Skill_Shiduzhou	2	1	1	0.2	-1	-1	0	39	1	40	1	41	1	-1	0	-1	0	-1	0	-1	1	-1	45	1	100	11	-1	-1	0
56	九幽冥蛇技能-喷毒-DEMO	Skill	2	1	1	0.2	-1	-1	0	42	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	84	1	0	-1	-1	-1	0
57	XP击飞	Knockaway	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
58	人骑麒麟跑动	Ride_Fly_Qilin	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
59	人骑麒麟站立	Ride_Stand_Qilin	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
60	击退	Hit	2	1	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
61	特殊死亡-毒神	Die_01	2	1	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	21	-1	0	0	-1	-1	-1	0
62	XP-鬼王男	Skill_Xp	2	1	1	0.2	-1	-1	0	128	1	129	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	95	1	0	-1	-1	-1	0
63	普攻-鬼王男	Attack	2	1	1	0	-1	-1	0	110	1	111	1	112	1	-1	0	-1	0	-1	0	-1	0	-1	80	1	100	6	-1	-1	0
64	火焰刀-鬼王男	Skill_Huoyandao	2	1	1	0.2	-1	-1	0	115	1	116	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	82	1	100	7	-1	-1	0
65	修罗斩-鬼王男	Skill_Xiuluozhan	2	1	1	0.2	-1	-1	0	121	1	122	1	123	1	-1	0	-1	0	-1	0	-1	1	-1	83	1	0	-1	-1	-1	0
66	天魔舞-鬼王男	Skill_Tianmowu	2	1	1	0.2	-1	-1	0	113	1	114	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	81	1	0	-1	-1	-1	0
67	XP-合欢女	Skill_Xp	2	1	1	0.2	-1	-1	0	117	1	118	1	119	1	-1	0	-1	0	-1	0	-1	0	-1	50	1	0	-1	-1	-1	0
68	情网-合欢女	Skill_Qingwang	2	1	1	0.2	-1	-1	0	95	1	96	1	97	1	-1	0	-1	0	-1	0	-1	1	-1	51	1	100	9	-1	-1	0
69	江南-合欢女	Skill_Jiangnan	2	1	1	0.2	-1	-1	0	104	1	105	1	106	1	-1	0	-1	0	-1	0	-1	1	-1	52	1	0	-1	-1	-1	0
70	旧梦-合欢女	Skill_Jiumeng	2	1	1	0.2	-1	-1	0	98	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	53	1	0	-1	-1	-1	0
71	任务剧情-受伤	JQ_Hurt02	1	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	1
