Id	Desc	SceneId	StartX	StartZ	PosX	PosZ	FaceDirection	Minutes	BehaviorType	InterMinutes	ParmaA	ParmaB	ParmaC	ParmaD	PaoPaoId	Worlds	NextConitueId
INT	STRING	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=3500;MAX_RECORD=3500;TableType=Hash;																	
#ID，NPC的行为Id	程序不读	所在场景Id	出生点X坐标，当出生点坐标与行为发生点的坐标一致时，配-1	出生点Z坐标，当出生点坐标与行为发生点的坐标一致时，配-1	行为发生的X坐标	行为发生的Z坐标	行为发生点的朝向	行为持续的分钟数	行为类型（-1空行为，只用于展示留言板；0做动作；1与场景交互物交互；2巡逻；3在附近游荡）	循环间隔时间，单位分钟，配-1的表示无循环	参数1，配置动作Id、交互物Id（SceneInteractObj）、巡逻起始路径点（对应NpcPatrolInfo表格）、游荡半径	参数2，交互物挂点索引	参数3（）	参数4	该行为中播放的泡泡Id，索引NpcBehaviorPaoPao.txt的Id，如果填-1表示该行为不伴随说话	留言板显示的字典Id	如果下一个行为与当前行为是同一个场景的衔接行为，配置下一个行为的Id，否则配-1
1	休息-A-1（0-5）	403	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	仙府生活区闲逛-A-1（6）	403	-1	-1	23	138	0	60	2	5	254	-1	-1	-1	-1	-1	3
3	训练-A-1（7-8）	403	-1	-1	160.77	36.1	0	120	0	5	1595	-1	-1	-1	-1	-1	4
4	练舞房闲聊-A-1（9）	403	-1	-1	160	36	0	60	0	5	1519	-1	-1	-1	-1	-1	5
5	摩天轮-A-1（10）	403	-1	-1	25.14	85.01	0	60	1	5	40	0	-1	-1	-1	-1	6
6	吃火锅-A-1（11）	403	-1	-1	27.84	160.06	0	60	1	5	47	0	-1	-1	-1	-1	-1
7	庙会站街-A-1（12）	324	-1	-1	89	129	0	60	0	5	0	-1	-1	-1	-1	27940	-1
8	逗猫狗-A-1（13）	403	-1	-1	40	169	0	60	0	5	0	-1	-1	-1	-1	-1	9
9	摩天轮-A-1（14）	403	-1	-1	25.14	85.01	0	60	1	5	40	0	-1	-1	-1	-1	10
10	训练-A-1（15-16）	403	-1	-1	160.77	36.1	0	120	0	5	1595	-1	-1	-1	-1	-1	-1
11	有狐丘游玩-A-1（17）	402	-1	-1	49	36	0	60	0	5	883	-1	-1	-1	-1	27940	-1
12	练舞房闲聊-A-1（18）	403	-1	-1	160	36	0	60	0	5	1519	-1	-1	-1	-1	-1	13
13	吃火锅-A-1（19-20）	403	-1	-1	27.84	160.06	0	60	1	5	47	0	-1	-1	-1	-1	14
14	仙府闲逛-A-1（21）	403	-1	-1	43.18	151.82	0	60	2	5	269	-1	-1	-1	-1	-1	15
15	休息-A-1（22-24）	403	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	休息-B-1（0-5）	403	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	仙府生活区闲逛-B-1（6）	403	-1	-1	23	140	0	60	2	5	259	-1	-1	-1	-1	-1	18
