Id	Desc	Name	SceneResource	DBIndex	SceneRuleID	Type	IsOriginalWorldLoad	IsBigWorldLoad	IsBattleServerLoad	IsBattleCopySceneWorldLoad	Length	Width	Obstacle	Tussock	SceneMapTexture	SceneMapWidth	SceneMapHeight	SceneMapLogicWidth	BGMusic	CopySceneID	CopySceneReEnterable	MaxInstCount	PlayersMaxA	PlayersMaxB	PlayersMaxC	GroupNormalSize	GroupSlowSize	GroupPauseSize	ReliveType_1	ReliveType_2	ReliveType_3	ReliveType_4	Entry_x	Entry_z	Safe_x	Safe_z	ReliveOriginalNum	ReliveEntryNum	EnterSceneEffect	LeaveSceneEffect	WMEnterLevelLimit	EnterNoticeDicID	CanUsePlanScene	PlayerViewRadius	PlayerViewEdgeInc	ChangeTab	SafeAreaIndex	DamageRefixAreaIndex	SeamlessOffSetX	SeamlessOffsetZ	IsSeamlessLoadAll	LoadLevel	IsHideSummonMonster	IsAutoDisableOtherPlayerEffect	OpenNearPlayerLv	CancelGuiDaoGuWangTrans	CancelLieShanTrans	OpenMainUIAutoFade	IsTianHuaFly	ChatPaoMinLevel	InviteeLv	IsMagicSkillOpen
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4960;MAX_RECORD=4960;TableType=Hash;																																																														
#场景ID	描述(不读)	名称	场景资源SceneResource表ID	用于存储世界地图中去过的场景，255之前的场景同场景ID，256之后的场景如果不需要在世界地图显示配-1，需要显示按顺序递增，最大不能超过300	SceneRule表对应ID	类型(-1客户端场景，0主城，1野外，2副本，3帮派，4结婚，5家园，6拜师)	原世界是否加载	大世界是否加载	战场服是否加载	战场副本服是否加载	长度	宽度	阻挡文件(服务器使用)	草丛文件(服务器使用)	雷达地图对应资源	雷达地图图片宽度	雷达地图图片高度	地图实际逻辑宽度	背景音乐ID	副本场景ID	是否是可重复进出的副本（一般都不是）	场景分线数量上限，-1不限制，最小限制值1，副本、原服出生场景、大世界出生场景不受此限制	内玩家数量上限A	场景内玩家数量上限B	场景内玩家数量上限C	系统分组调度Normal数量上限，只能程序修改，新增场景时默认填10	系统分组调度Slow数量上限，只能程序修改，新增场景时默认填60	系统分组调度Pause数量上限，只能程序修改，新增场景时默认填100	原地复活	入口复活	主城复活	复活技能复活	入口坐标X	入口坐标Z	安全坐标X	安全坐标Z	原地复活次数	入口复活次数	是否需要进场	是否需要离场特效	世界地图进入场景等级限制	进入场景描述字典号	该场景是否支持相位场景传入	玩家视野范围	玩家视野边缘增量	是否切换分页	场景无敌安全区域索引（无则填 -1）	场景伤害修正区域索引（无则填 -1）	无缝场景客户端偏移X	无缝场景客户端偏移Z	是否加载所有分块	场景负载分级1低，2中，3高	该场景是否隐藏灵契师的召唤兽	是否进入该场景时自动勾选隐藏其他玩家特效	开启附近玩家功能最小等级	进入该场景是否自动取消 鬼道蛊王 变身状态	进入该场景是否自动取消 烈山 变身状态（神王、狐狸）	是否开启MainUI自动隐藏功能	天华职业是否可以飞行行走	聊天泡泡最低等级（-1不显示泡泡 0无等级限制）	被邀请者等级限制	是否开启神通技能
0	启动	启动	0	0	-1	-1	1	0	0	0	50	40			None	320	320	64	-1	0	0	-1	1	1	-1	8	80	100	1	1	1	1	19.6	14.7	19.6	14.7	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1	登录	登录场景	1	1	-1	-1	1	0	0	0	1	1			None	320	320	64	4	0	0	-1	1	1	-1	8	80	100	1	1	1	1	50	50	50	50	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
2	加载	加载场景	2	2	-1	-1	1	0	0	0	1	1			None	320	320	64	-1	0	0	-1	1	1	-1	8	80	100	1	1	1	1	50	50	50	50	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
3	新手副本	青云劫	3	3	6	2	1	0	0	0	128	128	./Scene/zc_qingyunshan.path		qingyunshan	384	384	128	1	1	0	-1	40	56	-1	16	80	100	1	1	1	1	25.5	64	25.5	64	-1	-1	0	0	1	-1	1	1000	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
4	野外	小池镇	4	4	0	1	1	0	0	0	128	128	./Scene/Yw_Xiaochizhen.path		xiaochizhen	384	384	128	3	0	0	-1	40	56	-1	8	80	100	1	1	1	1	49	86	49	86	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	0	-1	1
5	主城（非正式）	河阳城	7	5	1	0	1	0	0	0	128	128	./Scene/Zc_Heyangcheng.path		heyangcheng	384	384	128	27	0	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	999	0	0	1	1	50	9	1
6	职业场景	青云山	3	6	0	1	1	0	0	0	128	128	./Scene/zc_qingyunshan.path		qingyunshan	384	384	128	2	0	0	-1	40	56	-1	8	80	100	1	1	1	1	3.43	9.51	3.43	9.51	-1	-1	1	1	10	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	0	-1	1
