Id	Desc	SceneID	InteractObjID	PosX	PosZ	FaceDirection
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
#MAX_ID=10240;MAX_RECORD=10240;TableType=Hash;						
#唯一标示	描述，策划维护，此列程序不读	所属场景	InteractObjID	位置X	位置Z	朝向(角度数值)
1	算命桌1	324	9	76.53	41.88	-90
2	秋千1	324	2	100.36	145.6	180
3	秋千2	324	2	112.44	102.4	90
4	算命桌2	324	9	60.96	38.55	112
5	算命椅子1	324	12	75	41.88	90
6	被算命椅子1	324	13	77.8	41.88	-90
7	算命椅子2	324	12	62.53	37.96	-68
8	被算命椅子2	324	13	59.76	39.08	112
9	古筝1	324	0	142	59.46	180
10	空灵鼓1	324	4	138	59.46	180
11	埙1	324	15	146	59.46	0
12	古筝2	324	16	142	56.6	180
13	空灵鼓2	324	17	138	56.6	180
14	埙2	324	18	146	56.6	0
15	带花石桌1	324	28	144.66	95.69	0
16	带花石桌2	324	29	139.11	95.42	0
17	带花石桌3	324	28	141.599	90.4	0
18	带花石桌4	324	29	139.75	74.16	0
19	带花石桌5	324	28	144.42	69.39	0
20	古筝3	324	0	177.74	19.46	-45
21	少女棋桌	324	11	180	17.15	-45
22	秋千3	324	2	5	140	65
23	秋千4	324	2	19.51	31.18	60
24	坐垫1	324	19	81	194.34	90
25	坐垫2	324	19	85.38	194.34	-90
26	跪垫1	324	21	25.97	129.06	0
27	跪垫2	324	21	26.93	129.06	0
28	跪垫3	324	21	27.88	129.06	0
29	少女棋桌	324	11	148	118	0
30	少女棋桌	324	11	148	47	0
31	少女棋桌	324	11	19.88	46.38	135
32	少女棋桌	324	11	175.6	165.01	0
33	少女棋桌	324	11	123.34	44.3	135
34	长桌	391	27	14.68	30.56	90
35	椅子1	391	12	13.33	30.56	90
36	椅子2	391	12	16.01	30.56	-90
37	卡林巴琴-10键	324	26	152	59.46	180
38	卡林巴琴-无交互	324	30	152	56.6	180
39	家园告示板	403	32	68.16	58.52	110.9573
40	摩天轮	403	33	21.97	85.01	180
41	旋转木马	403	34	28.68	51.28	180
42	代言人琴	403	0	139.715	46.04	0
43	代言人埙	403	15	123.754	36.67	90
44	代言人鼓	403	4	114.45	29.999	0
45	代言人卡林巴	403	26	180.618	45.843	180
46	代言人九宫格	403	28	23.72	156.4	0
47	代言人铜锅	403	28	28.4	151.58	0
48	少女棋桌	403	36	63.68	67.9	40.063
49	吊床	403	35	62.28	50.83	132.129
50	代言人铜锅	403	28	20.42	151.63	0
51	代言人九宫格	403	28	20.241	160.95	0
52	代言人铜锅	403	28	27.84	160.06	0
53	代言人九宫格	403	28	23.64	165.49	0
54	代言人铜锅	403	28	27.49	169.27	0
55	代言人九宫格	403	28	31.23	164.39	0
56	代言人秋千	403	2	52.53	83.57	-108.2142
57	代言人秋千2	403	2	57.28	74.85	-130.1571
58	代言人琴	403	0	129.237	45.976	0
