Id	iOSProductID	AndroidProductID
INT	STRING	STRING
#MAX_ID=400;MAX_RECORD=400;TableType=Index;ProjectActive0=_HTTPAGENT_;		
#ID	商品ID（苹果）	商品ID（安卓）
1	com.wanmei.wmsjzszz.monthcard30	and.wmsjzszz.monthcard30
2	com.wanmei.wmsjzszz.monthcard50	and.wmsjzszz.monthcard50
3	com.wanmei.wmsjzszz.monthcard98v2	and.wmsjzszz.monthcard98
4	com.wanmei.wmsjzszz.growth198	and.wmsjzszz.growth198
5	com.wanmei.wmsjzszz.giftbag1	and.wmsjzszz.giftbag1
6	com.wanmei.wmsjzszz.giftbag2	and.wmsjzszz.giftbag2
7	com.wanmei.wmsjzszz.giftbag4	and.wmsjzszz.giftbag4
8	com.wanmei.wmsjzszz.yuanbao1	and.wmsjzszz.yuanbao1
9	com.wanmei.wmsjzszz.yuanbao6	and.wmsjzszz.yuanbao6
10	com.wanmei.wmsjzszz.yuanbao30	and.wmsjzszz.yuanbao30
11	com.wanmei.wmsjzszz.yuanbao50	and.wmsjzszz.yuanbao50
12	com.wanmei.wmsjzszz.yuanbao98	and.wmsjzszz.yuanbao98
13	com.wanmei.wmsjzszz.yuanbao198	and.wmsjzszz.yuanbao198
14	com.wanmei.wmsjzszz.yuanbao328	and.wmsjzszz.yuanbao328
15	com.wanmei.wmsjzszz.yuanbao648	and.wmsjzszz.yuanbao648
21	com.wanmei.wmsjzszz.directpurchase30	and.wmsjzszz.directpurchase30
22	com.wanmei.wmsjzszz.marsaragrowth1	and.wmsjzszz.marsaragrowth1
23	com.wanmei.wmsjzszz.giftbag37	and.wmsjzszz.giftbag37
24	com.wanmei.wmsjzszz.marsaragrowth1	and.wmsjzszz.marsaragrowth1
25	com.wanmei.wmsjzszz.daypurchase50	and.wmsjzszz.daypurchase50
26	com.wanmei.wmsjzszz.daypurchase98	and.wmsjzszz.daypurchase98
27	com.wanmei.wmsjzszz.daypurchase198	and.wmsjzszz.daypurchase198
35	com.wanmei.wmsjzszz.weekpurchase50	and.wmsjzszz.weekpurchase50
36	com.wanmei.wmsjzszz.weekpurchase98	and.wmsjzszz.weekpurchase98
37	com.wanmei.wmsjzszz.weekpurchase198	and.wmsjzszz.weekpurchase198
45	com.wanmei.wmsjzszz.monthpurchase50	and.wmsjzszz.monthpurchase50
46	com.wanmei.wmsjzszz.monthpurchase98	and.wmsjzszz.monthpurchase98
47	com.wanmei.wmsjzszz.monthpurchase198	and.wmsjzszz.monthpurchase198
48	com.wanmei.wmsjzszz.weekpurchase50	and.wmsjzszz.weekpurchase50
49	com.wanmei.wmsjzszz.weekpurchase98	and.wmsjzszz.weekpurchase98
51	com.wanmei.wmsjzszz.act1purchase1	and.wmsjzszz.act1purchase1
52	com.wanmei.wmsjzszz.act1purchase6	and.wmsjzszz.act1purchase6
53	com.wanmei.wmsjzszz.act1purchase18	and.wmsjzszz.act1purchase18
54	com.wanmei.wmsjzszz.act1purchase30	and.wmsjzszz.act1purchase30
55	com.wanmei.wmsjzszz.act1purchase50	and.wmsjzszz.act1purchase50
56	com.wanmei.wmsjzszz.act1purchase98	and.wmsjzszz.act1purchase98
57	com.wanmei.wmsjzszz.act1purchase198	and.wmsjzszz.act1purchase198
58	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
59	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
60	com.wanmei.wmsjzszz.act2purchase1	and.wmsjzszz.act2purchase1
61	com.wanmei.wmsjzszz.act2purchase6	and.wmsjzszz.act2purchase6
62	com.wanmei.wmsjzszz.act2purchase18	and.wmsjzszz.act2purchase18
63	com.wanmei.wmsjzszz.act2purchase30	and.wmsjzszz.act2purchase30
65	com.wanmei.wmsjzszz.act2purchase68	and.wmsjzszz.act2purchase68
68	com.wanmei.wmsjzszz.act2purchase328	and.wmsjzszz.act2purchase328
70	com.wanmei.wmsjzszz.act2purchase50	and.wmsjzszz.act2purchase50
71	com.wanmei.wmsjzszz.act2purchase98	and.wmsjzszz.act2purchase98
72	com.wanmei.wmsjzszz.act2purchase198	and.wmsjzszz.act2purchase198
73	com.wanmei.wmsjzszz.act2purchase328	and.wmsjzszz.act2purchase328
74	com.wanmei.wmsjzszz.act2purchase648	and.wmsjzszz.act2purchase648
80	com.wanmei.wmsjzszz.act2purchase199	and.wmsjzszz.act2purchase199
81	com.wanmei.wmsjzszz.actpurchase601	and.wmsjzszz.actpurchase601
82	com.wanmei.wmsjzszz.actpurchase602	and.wmsjzszz.actpurchase602
83	com.wanmei.wmsjzszz.actpurchase603	and.wmsjzszz.actpurchase603
84	com.wanmei.wmsjzszz.actpurchase604	and.wmsjzszz.actpurchase604
85	com.wanmei.wmsjzszz.actpurchase605	and.wmsjzszz.actpurchase605
86	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
87	com.wanmei.wmsjzszz.surprisepurchase12	and.wmsjzszz.surprisepurchase12
88	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
